ID,Name,Sex,Age,Height,Weight,Team,Year,Sport,Event,Medal
1,Matthew Duncan Abeysinghe,M,20,180,74,Sri Lanka,2016,Swimming,Swimming Men's 100 metres Freestyle,NA
2,"Matthew ""Matt"" Abood",M,30,197,92,Australia,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
2,"Matthew ""Matt"" Abood",M,30,197,92,Australia,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
3,Bourhan Abro,M,21,180,70,Djibouti,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
4,Javier Carlos Acevedo,M,18,182,68,Canada,2016,Swimming,Swimming Men's 100 metres Backstroke,NA
4,Javier Carlos Acevedo,M,18,182,68,Canada,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
5,Natalie Cammile Adams (-Brannan),F,24,173,65,United States,2016,Swimming,Swimming Women's 200 metres Butterfly,NA
6,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Swimming,Swimming Men's 50 metres Freestyle,Bronze
6,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Swimming,Swimming Men's 100 metres Freestyle,Bronze
6,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
6,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
7,Jasper Aerents,M,23,191,86,Belgium,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
7,Jasper Aerents,M,23,191,86,Belgium,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NA
8,Evelina Afoa,F,17,162,60,Samoa,2016,Swimming,Swimming Women's 100 metres Backstroke,NA
9,Yannick Agnel,M,24,202,90,France,2016,Swimming,Swimming Men's 200 metres Freestyle,NA
10,Ai Yanhan,F,14,168,54,China,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
10,Ai Yanhan,F,14,168,54,China,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,NA
11,Ahmed Akram Abbas Mahmoud,M,19,188,80,Egypt,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
11,Ahmed Akram Abbas Mahmoud,M,19,188,80,Egypt,2016,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
12,Mary Al-Atrash,F,22,170,57,Palestine,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
13,Nada Mohamed Abdulzaher Mohamed Al-Bedwawi,F,18,162,53,United Arab Emirates,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
14,Noah Abdalaziz Al-Khulaifi,M,17,190,86,Qatar,2016,Swimming,Swimming Men's 100 metres Backstroke,NA
15,Fatema Abdul Muhsin Al-Mahmeed,F,17,167,60,Bahrain,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
16,Yaaqoub Al-Saadi,M,20,175,62,United Arab Emirates,2016,Swimming,Swimming Men's 100 metres Backstroke,NA
17,Markel Alberdi Sarobe,M,24,187,76,Spain,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NA
18,Jasmine Alkhaldi,F,23,180,60,Philippines,2016,Swimming,Swimming Women's 100 metres Freestyle,NA
19,Fatim Alkrmova,F,14,175,60,Azerbaijan,2016,Swimming,Swimming Women's 100 metres Freestyle,NA
20,Martin Allikvee,M,21,182,77,Estonia,2016,Swimming,Swimming Men's 200 metres Breaststroke,NA
21,Brandonn Pierry Cruz de Almeida,M,19,186,73,Brazil,2016,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
21,Brandonn Pierry Cruz de Almeida,M,19,186,73,Brazil,2016,Swimming,Swimming Men's 400 metres Individual Medley,NA
22,Kaio Mrcio Ferreira Costa de Almeida,M,31,177,75,Brazil,2016,Swimming,Swimming Men's 200 metres Butterfly,NA
23,Malin Therse Alshammar,F,38,180,64,Sweden,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
24,Mal Ambonguilat,M,18,170,65,Gabon,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
25,An Se-Hyeon,F,20,168,57,South Korea,2016,Swimming,Swimming Women's 100 metres Butterfly,NA
25,An Se-Hyeon,F,20,168,57,South Korea,2016,Swimming,Swimming Women's 200 metres Butterfly,NA
26,Haley Danita Anderson,F,24,178,68,United States,2016,Swimming,Swimming Women's 10 kilometres Open Water,NA
27,Sofya Denisovna Andreyeva,F,18,178,64,Russia,2016,Swimming,Swimming Women's 200 metres Breaststroke,NA
28,Viktoriya Olegovna Andreyeva,F,24,190,74,Russia,2016,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA
28,Viktoriya Olegovna Andreyeva,F,24,190,74,Russia,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,NA
28,Viktoriya Olegovna Andreyeva,F,24,190,74,Russia,2016,Swimming,Swimming Women's 200 metres Individual Medley,NA
29,Vyacheslav Dmitriyevich Andrusenko,M,24,194,85,Russia,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
