ID,Name,Sex,Age,Height,Weight,BestTime_100m,AverageTime_100m,training_hours_per_week,Medal
1,Matthew Duncan Abeysinghe,M,20,180,74,50.72,50.84,10.4,0
2,"Matthew ""Matt"" Abood",M,30,197,92,47.88,51.36,23.0,1
3,Bourhan Abro,M,21,180,70,53.62,54.97,8.3,0
4,Javier Carlos Acevedo,M,18,182,68,52.77,53.635,14.7,0
5,Natalie Cammile Adams (-Brannan),F,24,173,65,59.18,59.23,15.3,0
6,Nathan Ghar-Jun Adrian,M,27,198,100,48.02,48.945,30.75,1
7,Jasper Aerents,M,23,191,86,51.93,54.49,9.25,0
8,Evelina Afoa,F,17,162,60,59.88,60.53,16.9,0
9,Yannick Agnel,M,24,202,90,54.75,55.59,12.4,0
10,Ai Yanhan,F,14,168,54,58.42,60.17,12.6,0
11,Ahmed Akram Abbas Mahmoud,M,19,188,80,53.34,53.695,15.1,0
12,Mary Al-Atrash,F,22,170,57,58.53,58.65,19.3,0
13,Nada Mohamed Abdulzaher Mohamed Al-Bedwawi,F,18,162,53,56.65,56.96,15.5,0
14,Noah Abdalaziz Al-Khulaifi,M,17,190,86,54.27,55.16,13.2,0
15,Fatema Abdul Muhsin Al-Mahmeed,F,17,167,60,61.29,61.75,20.5,0
16,Yaaqoub Al-Saadi,M,20,175,62,54.55,54.77,24.1,0
17,Markel Alberdi Sarobe,M,24,187,76,50.85,51.04,14.8,0
18,Jasmine Alkhaldi,F,23,180,60,57.29,57.64,16.2,0
19,Fatim Alkrmova,F,14,175,60,62.37,62.65,6.0,0
20,Martin Allikvee,M,21,182,77,57.67,57.77,12.8,0
21,Brandonn Pierry Cruz de Almeida,M,19,186,73,52.4,54.17,11.1,0
22,Kaio Mrcio Ferreira Costa de Almeida,M,31,177,75,52.99,54.52,19.7,0
23,Malin Therse Alshammar,F,38,180,64,60.85,61.03,11.1,0
24,Mal Ambonguilat,M,18,170,65,54.73,54.83,18.6,0
25,An Se-Hyeon,F,20,168,57,55.28,56.735,10.8,0
26,Haley Danita Anderson,F,24,178,68,60.86,61.03,22.2,0
27,Sofya Denisovna Andreyeva,F,18,178,64,57.44,57.48,28.1,0
28,Viktoriya Olegovna Andreyeva,F,24,190,74,57.23,59.69,11.633333333333333,0
29,Vyacheslav Dmitriyevich Andrusenko,M,24,194,85,52.01,52.254999999999995,15.25,0
30,Rami Anis,M,25,178,78,52.25,52.790000000000006,17.6,0
31,Tomomi Aoki,F,21,164,55,60.88,61.23,13.9,0
32,Nada Mohammed Wafa S Arakji,F,21,163,59,59.6,60.8,16.7,0
33,"Kalliopi ""Kelly"" Araouzou",F,25,169,55,60.37,60.58,17.9,0
34,Isabella Arcila Hurtado,F,22,168,64,60.17,61.12,22.9,0
35,Samantha Michelle Arvalo Salinas,F,21,171,60,57.88,59.82,15.5,0
36,Pol Arias Dourdet,M,19,175,80,52.59,53.65,13.0,0
37,Antonio Arroyo Prez,M,22,170,63,54.13,54.81,20.5,0
38,Heather Ann Arseth,F,22,170,60,56.63,57.12,10.3,0
39,Bradlee Logan Taylor Ashby,M,20,200,92,50.1,52.47,16.7,0
40,Jessica Ashwood,F,23,173,64,52.71,57.336666666666666,22.633333333333336,1
41,Merdan Ataew,M,21,196,80,54.46,55.72,17.7,0
42,Soule Soilihi Athoumane,M,25,180,75,51.02,51.54,11.2,0
43,Alia Shanee Atkinson,F,27,172,71,58.41,58.5,13.9,0
44,"Hoi Shun ""Stephanie"" Au",F,24,172,56,59.08,59.35,19.4,0
45,Felix Aubck,M,19,198,85,52.05,53.343333333333334,15.9,0
46,Jordan Augier,M,21,171,53,55.37,55.68,15.4,0
47,"Dionisio Augustine, II",M,24,153,65,51.71,53.85,21.2,0
48,Ekaterina Ivanova Avramova,F,24,180,68,61.15,62.15,9.6,0
49,Ventsislav Vasilev Aydarski,M,25,168,60,51.59,53.71,24.7,0
50,Nooran Ahmed Ali Ba Matraf,F,16,166,60,58.82,59.02,17.9,0
51,Baek Su-Yeon,F,25,173,61,59.36,59.63,6.8,0
52,Kathleen Baker,F,19,173,68,52.25,53.254999999999995,29.6,1
53,Dmitry Igorevich Balandin,M,21,195,85,47.11,51.18,21.1,1
54,Coralie Balmy,F,29,180,67,57.16,58.913333333333334,15.433333333333332,0
55,Gbor Balog,M,25,186,80,53.28,55.615,20.0,0
56,Haris Bandey,M,17,167,79,52.18,52.71,10.0,0
57,Khader Ghetrich Baqlah,M,17,184,80,55.51,55.57,16.6,0
58,Talita Baqlah,F,20,172,62,59.09,59.52,19.3,0
59,"Katarzyna ""Kasia"" Baranowska",F,28,184,72,59.25,60.2,14.5,0
60,Azad Al-Barazi,M,28,195,85,51.82,52.07,14.7,0
61,Anthony John Barbar,M,23,201,100,52.9,53.25,14.2,0
62,Virginia Bardach Martn,F,24,174,57,57.12,59.27333333333333,12.966666666666669,0
63,Bronte Amelia Arnold Barratt,F,27,171,59,53.04,56.97,23.75,1
64,Batsaikhanyn Dlgn,M,29,179,72,50.31,50.72,13.4,0
65,Martin Bau,M,21,182,74,56.41,56.55,19.5,0
66,Ashton Baumann,M,23,191,74,50.85,50.93,14.4,0
67,Simona Baumrtov,F,24,176,68,57.75,59.792500000000004,21.1,0
68,Bayaryn Yosi,F,16,176,61,58.28,58.42,12.9,0
69,Hamdan Iqbal Ahmed Bayusuf,M,21,182,64,55.78,56.02,18.2,0
70,"Joshua ""Josh"" Beaver",M,23,175,70,49.39,52.125,23.15,0
71,Leonie Antonia Beck,F,19,184,62,57.56,57.6,10.1,0
72,Elizabeth Lyon Beisel,F,23,168,68,55.83,56.02,25.0,0
73,Mireia Belmonte Garca,F,25,170,59,51.69,54.525999999999996,23.46,1
74,Marco Belotti,M,27,185,76,52.38,53.045,16.0,0
75,Craig Harry Benson,M,22,183,80,53.65,53.82,19.3,0
76,"Joseph ""Gunnar"" Bentz",M,20,196,84,48.12,48.4,31.2,1
77,Pter Bernek,M,24,193,83,51.72,53.11000000000001,13.9,0
78,Jules Yao Bessan,M,37,183,85,51.73,52.1,15.4,0
79,Ilaria Bianchi,F,26,170,65,54.19,56.935,15.7,0
80,Paul Biedermann,M,29,193,93,53.34,54.83,19.35,0
81,Simonas Bilis,M,22,196,84,53.55,54.73666666666667,13.700000000000001,0
82,Susann Jakobsen Bjrnsen,F,23,182,72,57.64,59.95,14.5,0
83,Marko Blaevski,M,23,183,73,52.56,52.83,21.9,0
84,Jason Block,M,26,182,82,48.7,51.14,15.95,0
85,Pernille Blume,F,22,170,58,52.05,56.4225,23.375,1
86,Federico Bocchia,M,29,197,93,57.2,57.99,14.3,0
87,Anastasia Katerina Bogdanovski,F,23,174,57,59.62,59.74,18.9,0
88,Georgia Bohl,F,19,167,54,59.68,60.835,18.0,0
89,Richrd Bohus,M,23,187,81,52.44,54.25,13.233333333333334,0
90,Charlotte Bonnet,F,21,175,64,57.76,59.986000000000004,14.440000000000001,0
91,Dylan Bosch,M,23,178,75,50.53,52.96,12.2,0
92,Teona Bostashvili,F,18,159,48,58.63,58.78,15.4,0
93,Dominique Bouchard,F,25,175,61,55.71,60.59,18.1,0
94,Lorys Bourelly,M,24,184,69,48.92,49.15,25.1,0
95,"Frdric Thierry Roger ""Frd"" Bousquet",M,35,188,86,52.46,52.67,14.2,0
96,George Richard Lycott Bovell,M,33,196,74,53.11,53.5,15.3,0
97,Lauren Marie Boyle,F,28,183,67,55.41,56.465,19.0,0
98,David Karl Brandl,M,29,187,82,52.93,53.69,21.8,0
99,Dorothea Brandt,F,32,178,70,59.04,59.77,15.1,0
100,Sarah Bro,F,20,177,64,52.88,53.48,20.1,0
101,Viktor Bregner Bromer,M,23,194,87,54.2,54.36,7.7,0
102,Devon Myles William Brown,M,24,188,80,52.36,54.5075,16.125,0
103,Annika Bruhn,F,23,183,69,56.39,57.54666666666666,19.033333333333335,0
104,Rachele Bruni,F,25,170,59,52.49,52.89,28.9,1
105,Aleksey Sergeyevich Bryansky,M,18,192,82,51.36,51.78,13.5,0
106,Maarten Brzoskowski,M,20,185,79,47.99,50.515,24.8,0
107,Matelita Buadromo,F,20,171,56,60.03,60.23,14.9,0
108,Siri Arun Budcharern,F,14,166,63,57.39,57.77,22.6,0
109,Jack David Burnell,M,23,185,72,53.63,54.28,11.8,0
110,Tho Bussire,M,21,188,90,50.93,52.46,15.6,0
111,Geoffrey Butler,M,20,188,84,51.88,52.57,19.0,0
112,Lara Butler,F,21,172,60,62.68,62.8,19.9,0
113,Kimberly Buys,F,27,187,75,57.41,58.22,21.5,0
114,Lani Rose Cabrera,F,23,175,66,59.85,60.07,10.3,0
115,Basten Caerts,M,18,185,85,54.19,54.44,17.8,0
116,Hilary Caldwell,F,25,173,61,52.41,52.93,29.2,1
117,Amadou Camara,M,22,163,69,53.93,53.95,22.8,0
118,Bronte Campbell,F,22,179,58,52.16,56.586666666666666,22.666666666666668,1
119,Cate Natalie Campbell,F,24,186,67,52.21,56.055,25.125,1
120,Cao Yue,F,20,178,72,60.4,61.54,19.1,0
121,Diletta Carli,F,20,170,61,61.11,61.18,19.1,0
122,"Jazmin Roxy ""Jazz"" Carlin",F,25,175,57,52.19,52.769999999999996,28.35,1
123,Laurent Carnol,M,26,187,82,53.51,55.644999999999996,25.35,0
124,Martina Carraro,F,23,175,60,62.15,62.63,5.6,0
125,Dylan Carter,M,20,190,82,52.3,52.52,17.2,0
126,Diogo Filipe Silva de Carvalho,M,28,184,75,53.69,54.97,7.2,0
127,Arianna Castiglioni,F,18,167,55,56.95,59.0,16.15,0
128,Patricia Castro Ortega,F,23,178,66,55.65,57.903333333333336,15.833333333333334,0
129,Jssica Bruin Cavalheiro,F,25,164,60,58.46,58.91,17.1,0
130,Andrea del Rosario Cedrn Rodrguez,F,22,169,62,58.73,59.09,19.3,0
131,Mihajlo eprkalo,M,17,172,74,51.16,51.32,23.4,0
132,Tales Rocha Cerdeira,M,29,182,77,53.54,54.15,12.7,0
133,Kyle Chalmers,M,18,193,90,47.63,48.413333333333334,30.566666666666666,1
